ID,Name,Task,Genes
GO:0032725,positive regulation of granulocyte macrophage colony-stimulating factor production,GO,"[""10125"",""149233"",""23586"",""3553"",""3593"",""3606"",""5047"",""51561"",""53342"",""54106"",""64170""]"
GO:0032729,positive regulation of type II interferon production,GO,"[""10125"",""10148"",""10859"",""11118"",""11119"",""114836"",""149233"",""161882"",""246778"",""26191"",""282618"",""3105"",""3113"",""3115"",""3329"",""3553"",""3554"",""3592"",""3593"",""3594"",""3595"",""3606"",""3717"",""3965"",""51284"",""51311"",""5142"",""5144"",""51561"",""51744"",""54106"",""5987"",""64581"",""7098"",""7294"",""7297"",""7855"",""80381"",""8140"",""8809"",""914"",""9636""]"
GO:0032944,regulation of mononuclear cell proliferation,GO,"[""100133941"",""10148"",""10288"",""10451"",""10457"",""10673"",""10859"",""11006"",""11146"",""11148"",""11314"",""115352"",""126259"",""1378"",""1401"",""1435"",""149233"",""1493"",""160365"",""1604"",""177"",""1880"",""196"",""199"",""2048"",""2214"",""2255"",""23240"",""23308"",""259307"",""26191"",""29126"",""301"",""3071"",""30835"",""3105"",""3109"",""3113"",""3115"",""3123"",""3133"",""3135"",""3146"",""3479"",""3481"",""3485"",""3553"",""3558"",""3569"",""3572"",""3586"",""3592"",""3593"",""3594"",""3606"",""3620"",""3717"",""383"",""3952"",""3958"",""3965"",""406991"",""407030"",""4179"",""4282"",""4332"",""4690"",""472"",""4773"",""4860"",""50943"",""51293"",""51561"",""54106"",""5573"",""57045"",""5788"",""59067"",""596"",""6188"",""6352"",""6375"",""6385"",""63925"",""64115"",""6441"",""64926"",""652"",""6541"",""6664"",""7037"",""7048"",""7297"",""7305"",""7412"",""7940"",""79679"",""80380"",""80381"",""8440"",""8744"",""912"",""916"",""923"",""9231"",""940"",""944"",""952"",""959"",""970"",""972"",""975""]"
GO:0032946,positive regulation of mononuclear cell proliferation,GO,"[""100133941"",""10148"",""10288"",""10451"",""10673"",""11148"",""115352"",""126259"",""1435"",""149233"",""160365"",""1604"",""177"",""1880"",""199"",""2048"",""2214"",""2255"",""23308"",""29126"",""301"",""3071"",""30835"",""3105"",""3109"",""3113"",""3115"",""3133"",""3146"",""3479"",""3481"",""3485"",""3553"",""3558"",""3569"",""3572"",""3592"",""3593"",""3594"",""3606"",""3717"",""3952"",""3965"",""406991"",""407030"",""4179"",""4282"",""4690"",""4773"",""4860"",""51293"",""51561"",""54106"",""5788"",""59067"",""596"",""6188"",""6352"",""6375"",""63925"",""64926"",""6541"",""7037"",""7048"",""7297"",""7412"",""80381"",""8440"",""912"",""916"",""923"",""940"",""952"",""959"",""970"",""972"",""975""]"
GO:0033674,positive regulation of kinase activity,GO,"[""10006"",""100133941"",""10040"",""10111"",""10125"",""1026"",""10333"",""10454"",""10464"",""1062"",""10892"",""10899"",""10920"",""10961"",""10979"",""11035"",""11235"",""11315"",""116"",""116986"",""120892"",""1236"",""128344"",""143384"",""1436"",""146433"",""148252"",""149233"",""150"",""151"",""152"",""152110"",""153090"",""154"",""1616"",""1654"",""1742"",""1815"",""183"",""1856"",""1894"",""1906"",""1908"",""1917"",""1942"",""1950"",""1956"",""2011"",""2013"",""205428"",""2064"",""2069"",""207"",""2081"",""2146"",""2147"",""2185"",""219736"",""219771"",""2209"",""221938"",""2246"",""2247"",""2260"",""22924"",""22974"",""23118"",""2321"",""2322"",""23328"",""23411"",""23531"",""245711"",""25"",""2547"",""255324"",""25778"",""2621"",""2688"",""283"",""284"",""285489"",""28984"",""29775"",""3084"",""3123"",""3265"",""3320"",""3326"",""3357"",""345611"",""3458"",""3479"",""3491"",""353514"",""3553"",""3565"",""3593"",""3630"",""3643"",""3690"",""387"",""3952"",""4057"",""406911"",""406991"",""407048"",""4216"",""4217"",""4294"",""4296"",""4361"",""4486"",""4504"",""4683"",""4739"",""4908"",""4916"",""4921"",""493"",""5058"",""51149"",""51347"",""51422"",""51429"",""5154"",""5155"",""51561"",""5170"",""51719"",""5294"",""54209"",""54465"",""54769"",""5478"",""55011"",""5515"",""55294"",""55437"",""55704"",""5571"",""5580"",""5604"",""5605"",""5606"",""5618"",""5621"",""5629"",""566"",""56892"",""57091"",""57103"",""5716"",""57214"",""5747"",""57679"",""5770"",""5871"",""5899"",""595"",""6091"",""6188"",""6283"",""6352"",""6363"",""63967"",""65018"",""653361"",""6622"",""6714"",""6794"",""6868"",""6885"",""6997"",""7042"",""7057"",""7124"",""7164"",""7186"",""7189"",""7295"",""7422"",""7474"",""7520"",""7564"",""796"",""7984"",""801"",""805"",""80725"",""808"",""80829"",""8091"",""8312"",""84630"",""8536"",""8600"",""8754"",""8792"",""8817"",""8826"",""894"",""896"",""90441"",""9094"",""920"",""92335"",""9270"",""9344"",""9370"",""94056"",""958"",""9618"",""9693"",""972"",""9770"",""9928"",""9966""]"
GO:0034341,response to type II interferon,GO,"[""10241"",""10410"",""10492"",""10581"",""149233"",""1594"",""1612"",""1613"",""201626"",""2058"",""23521"",""2597"",""2633"",""2634"",""2643"",""3055"",""3113"",""3394"",""3458"",""3459"",""3594"",""361"",""3716"",""3717"",""3965"",""4210"",""4261"",""55337"",""58191"",""5894"",""65010"",""6584"",""6622"",""6672"",""6737"",""6772"",""6997"",""7097"",""7099"",""7297"",""801"",""815"",""834"",""8519"",""8942"",""965"",""972""]"
GO:0036293,response to decreased oxygen levels,GO,"[""100"",""101"",""10370"",""10449"",""10525"",""112398"",""1137"",""1139"",""1141"",""1263"",""126374"",""132864"",""1387"",""139341"",""1803"",""2033"",""2034"",""205"",""212"",""2168"",""22933"",""23411"",""2627"",""26355"",""26608"",""283"",""28984"",""28996"",""29979"",""29997"",""3091"",""3163"",""358"",""360"",""3708"",""3709"",""3778"",""378938"",""405"",""406932"",""406952"",""406982"",""406996"",""407008"",""407040"",""4088"",""4089"",""4504"",""4609"",""4780"",""4824"",""4985"",""5034"",""50809"",""5163"",""5165"",""5230"",""5300"",""5371"",""54541"",""54583"",""54890"",""56776"",""57103"",""5740"",""58157"",""5978"",""6095"",""6261"",""64428"",""64506"",""65018"",""664"",""665"",""677"",""6839"",""6868"",""7012"",""7015"",""7040"",""7042"",""7043"",""7054"",""7184"",""7291"",""7351"",""7391"",""7422"",""7428"",""79625"",""79723"",""84069"",""84890"",""84962"",""863"",""8994"",""9520"",""9777"",""9915""]"
GO:0036294,cellular response to decreased oxygen levels,GO,"[""101"",""10370"",""10449"",""10525"",""1263"",""132864"",""2034"",""205"",""2168"",""22933"",""23411"",""2627"",""26355"",""26608"",""28984"",""28996"",""29979"",""29997"",""3091"",""358"",""360"",""378938"",""406932"",""406952"",""406982"",""406996"",""407040"",""4609"",""4780"",""4824"",""4985"",""5034"",""50809"",""5163"",""5165"",""5230"",""56776"",""57103"",""5740"",""58157"",""6095"",""64506"",""65018"",""664"",""665"",""677"",""6839"",""7012"",""7015"",""7040"",""7291"",""7422"",""7428"",""79625"",""79723"",""84890"",""9520""]"
GO:0042129,regulation of T cell proliferation,GO,"[""100133941"",""10148"",""10288"",""10457"",""10859"",""11006"",""11146"",""11148"",""126259"",""1378"",""149233"",""160365"",""1604"",""177"",""199"",""23240"",""23308"",""259307"",""29126"",""301"",""3071"",""30835"",""3105"",""3109"",""3113"",""3115"",""3123"",""3133"",""3135"",""3146"",""3479"",""3481"",""3485"",""3553"",""3558"",""3569"",""3572"",""3593"",""3594"",""3606"",""3620"",""3717"",""383"",""3952"",""3958"",""3965"",""406991"",""407030"",""4179"",""4690"",""4860"",""50943"",""51561"",""5573"",""57045"",""59067"",""6188"",""6352"",""6375"",""6385"",""64115"",""6441"",""64926"",""652"",""6541"",""7037"",""7048"",""7297"",""7412"",""79679"",""80380"",""80381"",""8440"",""8744"",""912"",""916"",""923"",""9231"",""940"",""944"",""959"",""970"",""975""]"
GO:0042304,regulation of fatty acid biosynthetic process,GO,"[""10062"",""10464"",""10613"",""11160"",""116519"",""22933"",""23352"",""337"",""341"",""344"",""345"",""3553"",""406958"",""406987"",""407031"",""50487"",""5166"",""60481"",""64410"",""672"",""7376"",""8850"",""972"",""9926""]"
GO:0042542,response to hydrogen peroxide,GO,"[""10013"",""10105"",""10276"",""10494"",""10935"",""11315"",""1894"",""1906"",""2168"",""23064"",""23411"",""2395"",""25"",""2876"",""3039"",""3040"",""3043"",""3240"",""3569"",""358"",""388"",""4217"",""4780"",""51022"",""51157"",""51765"",""55139"",""5580"",""5598"",""5603"",""59338"",""5970"",""6188"",""7226"",""7295"",""8428"",""847"",""8754"",""8989""]"
GO:0043122,regulation of canonical NF-kappaB signal transduction,GO,"[""10010"",""10206"",""10211"",""10318"",""10333"",""10346"",""10392"",""10475"",""10537"",""10542"",""10616"",""10725"",""10771"",""10868"",""11006"",""11043"",""11214"",""114609"",""1147"",""114769"",""1236"",""142"",""148022"",""153090"",""1665"",""197358"",""2099"",""2150"",""222643"",""22900"",""22954"",""23005"",""23118"",""2319"",""23291"",""23411"",""23476"",""23636"",""24138"",""257397"",""2597"",""26057"",""286827"",""28952"",""29108"",""3123"",""330"",""331"",""339123"",""345611"",""3551"",""3553"",""3611"",""3654"",""387"",""387082"",""388646"",""3987"",""399"",""4057"",""406929"",""406948"",""406949"",""406950"",""409"",""4792"",""4919"",""5071"",""51135"",""5170"",""54106"",""541468"",""54469"",""5494"",""5495"",""55072"",""55223"",""55367"",""55765"",""5587"",""5617"",""56658"",""56957"",""57161"",""57162"",""58509"",""6095"",""6275"",""6283"",""6284"",""6285"",""6363"",""6366"",""6376"",""64116"",""64127"",""65018"",""6772"",""6885"",""7037"",""7040"",""7049"",""7088"",""7105"",""7114"",""7124"",""7128"",""7189"",""7334"",""7335"",""7706"",""79155"",""79931"",""80149"",""80216"",""81603"",""81858"",""825"",""834"",""841"",""843"",""84433"",""8454"",""84851"",""8517"",""85363"",""857"",""8737"",""8767"",""8780"",""8878"",""8904"",""8915"",""9100"",""91662"",""920"",""92140"",""92610"",""9370"",""9641"",""972"",""9971"",""9978""]"
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,GO,"[""10206"",""10211"",""10333"",""10346"",""10392"",""10475"",""10537"",""10542"",""10616"",""10725"",""11043"",""11214"",""114609"",""1147"",""114769"",""1236"",""142"",""148022"",""1665"",""2150"",""222643"",""22954"",""23118"",""2319"",""23291"",""23476"",""23636"",""24138"",""257397"",""2597"",""26057"",""28952"",""3123"",""330"",""331"",""339123"",""3551"",""3553"",""3611"",""3654"",""387"",""3987"",""4057"",""4919"",""5071"",""51135"",""54106"",""541468"",""55072"",""55223"",""55765"",""5587"",""5617"",""57161"",""57162"",""6275"",""6283"",""6284"",""6285"",""6363"",""6366"",""6376"",""64127"",""65018"",""6885"",""7037"",""7040"",""7124"",""7189"",""7334"",""7335"",""7706"",""79155"",""80216"",""81603"",""81858"",""834"",""841"",""843"",""84433"",""8454"",""84851"",""8517"",""85363"",""857"",""8737"",""8767"",""8915"",""920"",""92140"",""92610"",""9641"",""972"",""9978""]"
GO:0043388,positive regulation of DNA binding,GO,"[""1054"",""10542"",""11315"",""117854"",""149628"",""2296"",""2625"",""2959"",""3005"",""3146"",""3148"",""3458"",""3479"",""387082"",""4318"",""4760"",""4830"",""5071"",""5080"",""5329"",""5468"",""54984"",""5925"",""64855"",""6497"",""65057"",""65992"",""7189"",""7291"",""7295"",""8721"",""9464""]"
GO:0043410,positive regulation of MAPK cascade,GO,"[""100133941"",""10125"",""10253"",""10268"",""10333"",""10371"",""10457"",""10494"",""10550"",""10912"",""10961"",""10979"",""1116"",""11184"",""11211"",""11235"",""11331"",""1139"",""114609"",""115352"",""116"",""120892"",""1230"",""1236"",""1399"",""146433"",""147"",""148"",""148252"",""1490"",""150"",""151"",""152"",""152007"",""152110"",""153090"",""153769"",""154"",""155"",""1647"",""1652"",""168667"",""1687"",""177"",""1815"",""1856"",""1857"",""1880"",""1906"",""1908"",""1950"",""1956"",""195827"",""2064"",""2066"",""2081"",""2146"",""2149"",""2150"",""2185"",""222166"",""222643"",""2243"",""2244"",""2246"",""2247"",""2249"",""2255"",""2260"",""2261"",""2263"",""2264"",""2266"",""22943"",""23043"",""2321"",""2322"",""23236"",""2324"",""23286"",""23328"",""2358"",""23779"",""242"",""246"",""2492"",""255324"",""25778"",""26191"",""2621"",""26291"",""2651"",""2688"",""27347"",""284"",""284340"",""285016"",""2852"",""285613"",""2861"",""28996"",""29108"",""2914"",""3082"",""3084"",""3123"",""3146"",""3265"",""331"",""3356"",""3357"",""3358"",""3383"",""344558"",""3479"",""348"",""3481"",""3489"",""351"",""353514"",""3553"",""3569"",""3589"",""3630"",""3643"",""3791"",""3815"",""388325"",""389400"",""389658"",""3952"",""3965"",""3976"",""4055"",""406884"",""406991"",""407018"",""407019"",""407048"",""408"",""409"",""4216"",""4217"",""4281"",""4282"",""4294"",""4296"",""4342"",""4486"",""4504"",""4616"",""4653"",""4671"",""4838"",""4851"",""4853"",""4908"",""4914"",""4916"",""5008"",""5031"",""50488"",""5058"",""51347"",""51384"",""5151"",""5154"",""5155"",""5156"",""51562"",""5159"",""51738"",""5245"",""5294"",""5320"",""5322"",""5345"",""54106"",""54209"",""54361"",""54550"",""54769"",""5478"",""54910"",""55294"",""553"",""55532"",""55765"",""55801"",""5590"",""5595"",""5604"",""5609"",""5610"",""57007"",""57161"",""57551"",""57608"",""5781"",""5871"",""5894"",""5979"",""60401"",""6091"",""6093"",""6188"",""6259"",""6278"",""6283"",""6348"",""6363"",""6366"",""6376"",""6386"",""64127"",""64170"",""6464"",""64762"",""650"",""65009"",""6504"",""652"",""653361"",""6657"",""673"",""6885"",""6997"",""7010"",""7039"",""7040"",""7042"",""7057"",""7066"",""7098"",""7124"",""7164"",""7186"",""7189"",""728"",""7422"",""7474"",""7498"",""768211"",""7786"",""79444"",""7984"",""799"",""80149"",""8324"",""8412"",""84231"",""8482"",""85363"",""8567"",""858"",""8600"",""8737"",""8754"",""8792"",""8817"",""8826"",""8844"",""8877"",""90441"",""920"",""9258"",""9283"",""9290"",""9344"",""9464"",""9518"",""958"",""960"",""9618"",""9693"",""972"",""975"",""9770"",""9867"",""9965""]"
GO:0043457,regulation of cellular respiration,GO,"[""10131"",""11315"",""163702"",""205"",""23479"",""26471"",""27166"",""29997"",""3416"",""3454"",""3588"",""402"",""4843"",""51085"",""6472"",""65018"",""6622"",""7415"",""84275"",""84300"",""863""]"
GO:0043903,regulation of biological process involved in symbiotic interaction,GO,"[""10410"",""10475"",""10581"",""11043"",""11074"",""131578"",""2150"",""2219"",""222537"",""23265"",""2519"",""2934"",""3123"",""3146"",""325"",""3440"",""3576"",""3685"",""383"",""3853"",""3956"",""3965"",""4057"",""4061"",""406933"",""407031"",""4261"",""5034"",""5045"",""51297"",""5465"",""55223"",""55770"",""56649"",""5806"",""5819"",""6609"",""7113"",""7706"",""7726"",""81559"",""8519"",""85363"",""8547"",""857"",""8724"",""9023"",""920"",""972""]"
GO:0045087,innate immune response,GO,"[""100507436"",""10155"",""10206"",""10241"",""103"",""10410"",""10492"",""10581"",""10584"",""10747"",""10868"",""10955"",""11043"",""11074"",""11128"",""11151"",""11274"",""1130"",""11331"",""1147"",""115004"",""117285"",""117854"",""135250"",""1378"",""1380"",""140596"",""140850"",""149233"",""1524"",""1535"",""1536"",""1540"",""1594"",""1612"",""1613"",""1654"",""1665"",""1667"",""1668"",""1670"",""1672"",""1673"",""1675"",""171389"",""1755"",""200315"",""200316"",""201626"",""2058"",""2161"",""2197"",""2214"",""2219"",""2220"",""22861"",""22900"",""22914"",""22954"",""23087"",""23138"",""23207"",""23515"",""23521"",""23586"",""23601"",""245909"",""245928"",""2537"",""256987"",""25942"",""2597"",""260434"",""26057"",""2633"",""2634"",""2643"",""29072"",""29110"",""29800"",""3002"",""3055"",""3113"",""325"",""337"",""338339"",""3394"",""340061"",""3429"",""3433"",""3434"",""3437"",""3440"",""3454"",""3455"",""3456"",""345611"",""3458"",""3459"",""3460"",""3507"",""3512"",""3551"",""3594"",""361"",""3654"",""3665"",""3716"",""3717"",""3799"",""3811"",""3822"",""3824"",""3848"",""387836"",""3929"",""3965"",""4057"",""406884"",""4153"",""4210"",""4261"",""4599"",""4615"",""4688"",""4690"",""4734"",""4790"",""4829"",""4938"",""503618"",""51135"",""51191"",""51284"",""51297"",""5245"",""5293"",""5294"",""5319"",""5371"",""54106"",""54145"",""5468"",""54920"",""55207"",""55210"",""55223"",""55284"",""55337"",""55765"",""5610"",""5648"",""57506"",""5806"",""58191"",""5894"",""5919"",""5987"",""6037"",""6039"",""60489"",""613210"",""6170"",""6283"",""629"",""64127"",""64135"",""64170"",""6441"",""6472"",""65010"",""6502"",""653361"",""6565"",""6584"",""6609"",""6622"",""6672"",""6675"",""6732"",""6733"",""6737"",""6772"",""6773"",""684"",""6844"",""6845"",""695"",""6997"",""7097"",""7098"",""7099"",""7124"",""7186"",""7189"",""7268"",""728358"",""7297"",""7318"",""7334"",""7369"",""7706"",""7726"",""78989"",""79415"",""7942"",""79465"",""79844"",""801"",""80216"",""80328"",""80329"",""81030"",""81035"",""815"",""81559"",""81570"",""81603"",""8165"",""81786"",""820"",""8339"",""834"",""8343"",""8344"",""8346"",""8347"",""8349"",""84101"",""84166"",""84282"",""8449"",""84659"",""8517"",""8519"",""85236"",""85363"",""8542"",""8547"",""8751"",""8767"",""89122"",""8942"",""8970"",""89870"",""9023"",""90268"",""914"",""9246"",""9258"",""92610"",""92747"",""9636"",""965"",""972"",""9759"",""9830"",""9867""]"
GO:0045454,cell redox homeostasis,GO,"[""10539"",""10587"",""112398"",""1649"",""23071"",""2729"",""2876"",""30001"",""4780"",""4842"",""4843"",""4846"",""51022"",""51714"",""552900"",""55829"",""654483"",""7295"",""81031"",""84181"",""84329"",""889""]"
GO:0045655,regulation of monocyte differentiation,GO,"[""1021"",""146433"",""2242"",""27086"",""3123"",""3204"",""325"",""3665"",""406911"",""4609"",""56998"",""677"",""920"",""972""]"
GO:0045723,positive regulation of fatty acid biosynthetic process,GO,"[""10062"",""116519"",""22933"",""337"",""344"",""3553"",""406958"",""50487"",""60481"",""7376"",""8850"",""972"",""9926""]"
GO:0045834,positive regulation of lipid metabolic process,GO,"[""10062"",""10524"",""1066"",""1081"",""10891"",""11261"",""116519"",""133"",""134429"",""1917"",""207"",""208"",""2147"",""215"",""2170"",""2181"",""2246"",""225"",""22933"",""22937"",""23399"",""23417"",""2475"",""2488"",""255919"",""26119"",""27329"",""335"",""3356"",""3357"",""3358"",""336"",""337"",""344"",""345275"",""3458"",""348"",""3553"",""3667"",""406958"",""50487"",""5105"",""51085"",""51099"",""54361"",""5465"",""5580"",""56848"",""57104"",""57540"",""60481"",""64410"",""654"",""6720"",""6721"",""6770"",""7124"",""7291"",""7376"",""8660"",""8850"",""972"",""9926"",""9971""]"
GO:0045923,positive regulation of fatty acid metabolic process,GO,"[""10062"",""10891"",""116519"",""208"",""215"",""225"",""22933"",""23417"",""337"",""344"",""3553"",""3667"",""406958"",""50487"",""5465"",""60481"",""64410"",""7291"",""7376"",""8660"",""8850"",""972"",""9926""]"
GO:0046596,regulation of viral entry into host cell,GO,"[""10410"",""10475"",""10581"",""11043"",""11074"",""131578"",""2219"",""222537"",""2934"",""3123"",""3146"",""325"",""3440"",""3956"",""3965"",""4061"",""4261"",""5034"",""5045"",""55223"",""56649"",""5806"",""5819"",""6609"",""7113"",""7706"",""7726"",""81559"",""8519"",""85363"",""8547"",""8724"",""9023"",""920"",""972""]"
GO:0046597,negative regulation of viral entry into host cell,GO,"[""10410"",""10581"",""11043"",""11074"",""131578"",""2219"",""2934"",""325"",""3440"",""4061"",""4261"",""5806"",""7726"",""81559"",""8519"",""85363"",""8547"",""8724"",""9023""]"
GO:0046598,positive regulation of viral entry into host cell,GO,"[""10475"",""3123"",""3146"",""3956"",""3965"",""5034"",""5045"",""56649"",""6609"",""7113"",""81559"",""920"",""972""]"
GO:0046889,positive regulation of lipid biosynthetic process,GO,"[""10062"",""10524"",""1081"",""11261"",""116519"",""133"",""134429"",""207"",""2170"",""2181"",""2246"",""22933"",""22937"",""23399"",""2475"",""2488"",""255919"",""3356"",""3357"",""3358"",""337"",""344"",""345275"",""3458"",""348"",""3553"",""406958"",""50487"",""5105"",""51085"",""54361"",""5465"",""5580"",""56848"",""60481"",""654"",""6720"",""6721"",""6770"",""7124"",""7376"",""8850"",""972"",""9926"",""9971""]"
GO:0046890,regulation of lipid biosynthetic process,GO,"[""10062"",""10196"",""10464"",""10524"",""10613"",""1066"",""10677"",""1081"",""11160"",""11261"",""116519"",""1181"",""133"",""134429"",""142891"",""1594"",""1609"",""190"",""20"",""207"",""2170"",""2181"",""2246"",""2264"",""22933"",""22937"",""23352"",""23399"",""23411"",""2475"",""2488"",""2516"",""255919"",""2672"",""27122"",""29095"",""3356"",""3357"",""3358"",""337"",""341"",""343"",""344"",""345"",""345275"",""3458"",""348"",""3553"",""376497"",""406904"",""406958"",""406987"",""406989"",""407031"",""407046"",""407054"",""427"",""4790"",""50487"",""5105"",""51085"",""51360"",""5154"",""5155"",""5166"",""54361"",""5465"",""5580"",""5629"",""56848"",""5978"",""60481"",""64410"",""650"",""653"",""654"",""6591"",""6615"",""6647"",""672"",""6720"",""6721"",""6770"",""7124"",""718"",""7376"",""80816"",""81542"",""8644"",""8720"",""8850"",""8877"",""94101"",""94103"",""9563"",""972"",""9926"",""9965"",""9971""]"
GO:0048002,antigen processing and presentation of peptide antigen,GO,"[""10437"",""1509"",""1510"",""1514"",""1515"",""1520"",""1636"",""1785"",""200576"",""23457"",""2923"",""3105"",""3106"",""3107"",""3108"",""3109"",""3113"",""3115"",""3119"",""3122"",""3123"",""3125"",""3133"",""3134"",""3135"",""3416"",""3551"",""4012"",""50856"",""51128"",""51752"",""55016"",""55080"",""5641"",""567"",""64167"",""6890"",""6891"",""6892"",""811"",""8722""]"
GO:0048524,positive regulation of viral process,GO,"[""103"",""104"",""10450"",""10465"",""10475"",""128637"",""1642"",""1654"",""1660"",""201626"",""2332"",""23367"",""23633"",""2494"",""26986"",""27183"",""29883"",""29969"",""30835"",""3123"",""3146"",""339390"",""3434"",""3838"",""388646"",""3956"",""3965"",""5034"",""5045"",""51495"",""51773"",""5465"",""5478"",""5481"",""55254"",""558"",""5586"",""56649"",""5886"",""6352"",""6609"",""6732"",""6733"",""6780"",""6895"",""7113"",""7153"",""7155"",""7251"",""7301"",""7879"",""79720"",""81559"",""8468"",""90120"",""9140"",""920"",""9217"",""9474"",""972""]"
GO:0050670,regulation of lymphocyte proliferation,GO,"[""100133941"",""10148"",""10288"",""10451"",""10457"",""10673"",""10859"",""11006"",""11146"",""11148"",""11314"",""115352"",""126259"",""1378"",""149233"",""1493"",""160365"",""1604"",""177"",""1880"",""196"",""199"",""2048"",""2214"",""2255"",""23240"",""23308"",""259307"",""26191"",""29126"",""301"",""3071"",""30835"",""3105"",""3109"",""3113"",""3115"",""3123"",""3133"",""3135"",""3146"",""3479"",""3481"",""3485"",""3553"",""3558"",""3569"",""3572"",""3586"",""3592"",""3593"",""3594"",""3606"",""3620"",""3717"",""383"",""3952"",""3958"",""3965"",""406991"",""407030"",""4179"",""4282"",""4332"",""4690"",""472"",""4773"",""4860"",""50943"",""51293"",""51561"",""54106"",""5573"",""57045"",""5788"",""59067"",""596"",""6188"",""6352"",""6375"",""6385"",""63925"",""64115"",""6441"",""64926"",""652"",""6541"",""6664"",""7037"",""7048"",""7297"",""7305"",""7412"",""7940"",""79679"",""80380"",""80381"",""8440"",""8744"",""912"",""916"",""923"",""9231"",""940"",""944"",""952"",""959"",""970"",""972"",""975""]"
GO:0050671,positive regulation of lymphocyte proliferation,GO,"[""100133941"",""10148"",""10288"",""10451"",""10673"",""11148"",""115352"",""126259"",""149233"",""160365"",""1604"",""177"",""1880"",""199"",""2048"",""2214"",""2255"",""23308"",""29126"",""301"",""3071"",""30835"",""3105"",""3109"",""3113"",""3115"",""3133"",""3146"",""3479"",""3481"",""3485"",""3553"",""3558"",""3569"",""3572"",""3592"",""3593"",""3594"",""3606"",""3717"",""3952"",""3965"",""406991"",""407030"",""4179"",""4282"",""4690"",""4773"",""4860"",""51293"",""51561"",""54106"",""5788"",""59067"",""596"",""6188"",""6352"",""6375"",""63925"",""64926"",""6541"",""7037"",""7048"",""7297"",""7412"",""80381"",""8440"",""912"",""916"",""923"",""940"",""952"",""959"",""970"",""972"",""975""]"
GO:0050727,regulation of inflammatory response,GO,"[""1003"",""10658"",""10769"",""11274"",""114548"",""114899"",""1215"",""140885"",""1432"",""145407"",""145581"",""145741"",""1540"",""1652"",""171389"",""183"",""185"",""196"",""197"",""197358"",""2000"",""201292"",""2113"",""2137"",""2161"",""2213"",""2268"",""22861"",""22904"",""23476"",""2358"",""23765"",""240"",""245928"",""246"",""2534"",""25875"",""2625"",""2629"",""2693"",""27086"",""27178"",""283131"",""284340"",""2852"",""2896"",""29108"",""3055"",""3123"",""3133"",""325"",""329"",""330"",""331"",""335"",""3430"",""345611"",""3458"",""3479"",""348"",""351"",""353514"",""3553"",""3558"",""3565"",""3569"",""3572"",""3586"",""3587"",""3593"",""3596"",""3600"",""3603"",""3606"",""3630"",""3717"",""3735"",""3818"",""388125"",""3956"",""4023"",""405"",""4067"",""406890"",""406929"",""406934"",""406936"",""406937"",""406948"",""406949"",""406950"",""406976"",""406979"",""406980"",""406982"",""406987"",""406988"",""406989"",""406991"",""407004"",""407006"",""407007"",""407035"",""407048"",""4192"",""4210"",""4314"",""4318"",""4598"",""4792"",""4814"",""5008"",""5045"",""50487"",""5054"",""50604"",""5068"",""51284"",""51561"",""51738"",""5320"",""5335"",""5336"",""54106"",""54209"",""5465"",""55527"",""55737"",""5580"",""55829"",""5598"",""5603"",""5624"",""56547"",""5687"",""5734"",""5740"",""5777"",""5788"",""58533"",""59067"",""59272"",""6095"",""6223"",""6279"",""6280"",""6283"",""6346"",""6348"",""6352"",""6375"",""6401"",""64116"",""64127"",""64332"",""6622"",""6714"",""6774"",""683"",""6844"",""6845"",""6850"",""7010"",""7040"",""7097"",""7098"",""7099"",""7114"",""7124"",""7130"",""7132"",""724027"",""7474"",""7525"",""7941"",""79651"",""79792"",""79918"",""80263"",""8087"",""81792"",""834"",""837"",""84630"",""85480"",""8673"",""8692"",""8717"",""8723"",""8737"",""8840"",""89790"",""90268"",""90355"",""90865"",""91662"",""9180"",""9258"",""9314"",""9341"",""9825""]"
GO:0050729,positive regulation of inflammatory response,GO,"[""114548"",""145741"",""1652"",""171389"",""183"",""185"",""2113"",""22861"",""23765"",""245928"",""283131"",""29108"",""3133"",""3430"",""3458"",""351"",""353514"",""3553"",""3558"",""3569"",""3572"",""3593"",""3600"",""3603"",""3606"",""3735"",""388125"",""3956"",""4023"",""406936"",""406989"",""406991"",""407004"",""4192"",""4792"",""4814"",""5008"",""50487"",""5054"",""51284"",""51561"",""5320"",""5336"",""54106"",""54209"",""5603"",""59067"",""6223"",""6279"",""6280"",""6283"",""6346"",""6348"",""64332"",""6622"",""6845"",""7040"",""7097"",""7098"",""7099"",""7124"",""7474"",""7941"",""79792"",""834"",""837"",""84630"",""85480"",""8673"",""8692"",""8717"",""8723"",""8737"",""8840"",""90865"",""9180""]"
GO:0050769,positive regulation of neurogenesis,GO,"[""10507"",""11344"",""114798"",""1826"",""23013"",""23028"",""23363"",""23499"",""26259"",""27185"",""274"",""2803"",""3458"",""3553"",""3569"",""406911"",""4137"",""4192"",""4311"",""5176"",""5270"",""5583"",""5584"",""5764"",""6091"",""6092"",""627"",""63925"",""6604"",""7052"",""7124"",""84630"",""8482"",""9353"",""9820""]"
